step,time,angle
488,4.88,0.457458
489,4.89,0.443819
490,4.9,0.430601
491,4.91,0.417793
492,4.92,0.405383
493,4.93,0.393359
494,4.94,0.381712
495,4.95,0.37043
496,4.96,0.359503
497,4.97,0.348921
498,4.98,0.338675
499,4.99,0.328754
