step,time,angle
438,4.38,0.210311
439,4.39,0.215881
440,4.4,0.22164
441,4.41,0.227592
442,4.42,0.233743
443,4.43,0.240098
444,4.44,0.246662
445,4.45,0.253441
446,4.46,0.260441
447,4.47,0.267667
448,4.48,0.275126
449,4.49,0.282824
450,4.5,0.290767
451,4.51,0.298963
452,4.52,0.307417
453,4.53,0.316138
454,4.54,0.325132
455,4.55,0.334407
456,4.56,0.34397
457,4.57,0.35383
458,4.58,0.363995
459,4.59,0.374472
460,4.6,0.38527
461,4.61,0.396399
462,4.62,0.407867
463,4.63,0.419683
464,4.64,0.431857
465,4.65,0.444399
466,4.66,0.457317
467,4.67,0.470623
468,4.68,0.484327
469,4.69,0.498439
470,4.7,0.512971
471,4.71,0.527932
472,4.72,0.543335
473,4.73,0.559191
474,4.74,0.575511
475,4.75,0.592308
476,4.76,0.609593
477,4.77,0.627378
478,4.78,0.645677
479,4.79,0.664502
480,4.8,0.683865
481,4.81,0.703779
482,4.82,0.724258
483,4.83,0.745315
484,4.84,0.766962
485,4.85,0.789213
486,4.86,0.812082
487,4.87,0.835582
488,4.88,0.859725
489,4.89,0.884526
490,4.9,0.909997
491,4.91,0.936152
492,4.92,0.963003
493,4.93,0.990563
494,4.94,1.01884
495,4.95,1.04786
496,4.96,1.07762
497,4.97,1.10814
498,4.98,1.13942
499,4.99,1.17148
