step,time,angle
458,4.58,1.6114
459,4.59,1.63795
460,4.6,1.66467
461,4.61,1.69153
462,4.62,1.71852
463,4.63,1.74562
464,4.64,1.77282
465,4.65,1.80008
466,4.66,1.82741
467,4.67,1.85477
468,4.68,1.88214
469,4.69,1.90951
470,4.7,1.93684
471,4.71,1.96413
472,4.72,1.99133
473,4.73,2.01844
474,4.74,2.04542
475,4.75,2.07226
476,4.76,2.09891
477,4.77,2.12537
478,4.78,2.15159
479,4.79,2.17756
480,4.8,2.20325
481,4.81,2.22863
482,4.82,2.25367
483,4.83,2.27834
484,4.84,2.30262
485,4.85,2.32648
486,4.86,2.34989
487,4.87,2.37282
488,4.88,2.39525
489,4.89,2.41714
490,4.9,2.43848
491,4.91,2.45923
492,4.92,2.47937
493,4.93,2.49888
494,4.94,2.51772
495,4.95,2.53588
496,4.96,2.55333
497,4.97,2.57005
498,4.98,2.58601
499,4.99,2.60119
